"Year","Major","Count"
2025,"Stats",40
2025,"Math",22
2025,"Applied_Math",18
2025,"Data_Analytics",38
2024,"Stats",39
2024,"Math",25
2024,"Applied_Math",18
2024,"Data_Analytics",36
2023,"Stats",38
2023,"Math",30
2023,"Applied_Math",19
2023,"Data_Analytics",23
2022,"Stats",48
2022,"Math",26
2022,"Applied_Math",27
2022,"Data_Analytics",11
2021,"Stats",53
2021,"Math",21
2021,"Applied_Math",34
2021,"Data_Analytics",NA
2020,"Stats",56
2020,"Math",26
2020,"Applied_Math",25
2020,"Data_Analytics",NA
2019,"Stats",57
2019,"Math",33
2019,"Applied_Math",23
2019,"Data_Analytics",NA
2018,"Stats",54
2018,"Math",31
2018,"Applied_Math",32
2018,"Data_Analytics",NA
2017,"Stats",56
2017,"Math",32
2017,"Applied_Math",37
2017,"Data_Analytics",NA
2016,"Stats",43
2016,"Math",46
2016,"Applied_Math",27
2016,"Data_Analytics",NA
2015,"Stats",47
2015,"Math",39
2015,"Applied_Math",18
2015,"Data_Analytics",NA
2014,"Stats",34
2014,"Math",44
2014,"Applied_Math",12
2014,"Data_Analytics",NA
2013,"Stats",32
2013,"Math",56
2013,"Applied_Math",9
2013,"Data_Analytics",NA
2012,"Stats",34
2012,"Math",55
2012,"Applied_Math",5
2012,"Data_Analytics",NA
2011,"Stats",24
2011,"Math",63
2011,"Applied_Math",4
2011,"Data_Analytics",NA
2010,"Stats",11
2010,"Math",52
2010,"Applied_Math",NA
2010,"Data_Analytics",NA
2009,"Stats",NA
2009,"Math",75
2009,"Applied_Math",NA
2009,"Data_Analytics",NA
2008,"Stats",NA
2008,"Math",73
2008,"Applied_Math",NA
2008,"Data_Analytics",NA
2007,"Stats",NA
2007,"Math",54
2007,"Applied_Math",NA
2007,"Data_Analytics",NA
